,Id,lon,lat,X,Y,Type,ltype,Name,Source,x_pixel,y_pixel,elev
0,0,84.97684000301979,42.07756358286989,85.7662060116,41.880538343,strike-slip,1311,,,5754.441611004488,6738.61526391318,1372
1,0,85.16191093936507,42.05112487767771,85.7662060116,41.880538343,strike-slip,1311,,,5798.858635734462,6732.26997466604,1265
2,0,85.47256572537322,41.9784184383992,85.7662060116,41.880538343,strike-slip,1311,,,5873.415784388346,6714.820429236407,1185
3,0,85.84931727436181,41.85283458873634,85.7662060116,41.880538343,strike-slip,1311,,,5963.836156160076,6684.680305312498,981
4,0,86.0806559447934,41.79334750205393,85.7662060116,41.880538343,strike-slip,1311,,,6019.357437072542,6670.403404506435,924
5,0,86.34504299671522,41.71403138647738,85.7662060116,41.880538343,strike-slip,1311,,,6082.8103295439305,6651.367536765017,1212
6,0,86.45079781748396,41.667763652391066,85.7662060116,41.880538343,strike-slip,1311,,,6108.191486532489,6640.263280582525,1362
7,0,86.53672360935855,41.621495918304745,85.7662060116,41.880538343,strike-slip,1311,,,6128.813676585689,6629.159024400032,1404
8,1,74.56659983359803,40.696141236578356,73.6720793591,41.339571152,strike-slip,1311,Talas-Fergana fault,"Thompson, et al., 2002; Tapponnier, et al., 1979",3255.9839699435133,6407.073900750164,3270
9,1,74.3881385735508,40.75562832326077,73.6720793591,41.339571152,strike-slip,1311,Talas-Fergana fault,"Thompson, et al., 2002; Tapponnier, et al., 1979",3213.153267525325,6421.350801556228,3276
10,1,74.20306763720552,40.90104120181777,73.6720793591,41.339571152,strike-slip,1311,Talas-Fergana fault,"Thompson, et al., 2002; Tapponnier, et al., 1979",3168.736242795351,6456.249892415492,2989
11,1,74.01799670086025,41.06628310926891,73.6720793591,41.339571152,strike-slip,1311,Talas-Fergana fault,"Thompson, et al., 2002; Tapponnier, et al., 1979",3124.319218065379,6495.90795021011,2733
12,1,73.8791934986013,41.191866958931776,73.6720793591,41.339571152,strike-slip,1311,Talas-Fergana fault,"Thompson, et al., 2002; Tapponnier, et al., 1979",3091.0064495179,6526.048074134021,2065
13,1,73.7205612674482,41.310841132296595,73.6720793591,41.339571152,strike-slip,1311,Talas-Fergana fault,"Thompson, et al., 2002; Tapponnier, et al., 1979",3052.9347140350665,6554.601875746146,2027
14,1,73.54210000740098,41.416595953065325,73.6720793591,41.339571152,strike-slip,1311,Talas-Fergana fault,"Thompson, et al., 2002; Tapponnier, et al., 1979",3010.1040116168783,6579.983032734703,2444
15,1,73.44295486293028,41.476083039747735,73.6720793591,41.339571152,strike-slip,1311,Talas-Fergana fault,"Thompson, et al., 2002; Tapponnier, et al., 1979",2986.309176940104,6594.259933540765,2989
16,1,73.25788392658501,41.56200883162233,73.6720793591,41.339571152,strike-slip,1311,Talas-Fergana fault,"Thompson, et al., 2002; Tapponnier, et al., 1979",2941.8921522101327,6614.882123593967,2129
17,1,73.11247104802801,41.63471527090083,73.6720793591,41.339571152,strike-slip,1311,Talas-Fergana fault,"Thompson, et al., 2002; Tapponnier, et al., 1979",2906.9930613508695,6632.331669023599,1638
18,1,73.00010655096123,41.68098300498715,73.6720793591,41.339571152,strike-slip,1311,Talas-Fergana fault,"Thompson, et al., 2002; Tapponnier, et al., 1979",2880.025582050528,6643.435925206092,1390
19,1,72.88113237759642,41.700812033881284,73.6720793591,41.339571152,strike-slip,1311,Talas-Fergana fault,"Thompson, et al., 2002; Tapponnier, et al., 1979",2851.471780438403,6648.194892141447,1484
20,1,72.80842593831791,41.700812033881284,73.6720793591,41.339571152,strike-slip,1311,Talas-Fergana fault,"Thompson, et al., 2002; Tapponnier, et al., 1979",2834.0222350087697,6648.194892141447,2060
21,1,72.64979370716482,41.65454429979496,73.6720793591,41.339571152,strike-slip,1311,Talas-Fergana fault,"Thompson, et al., 2002; Tapponnier, et al., 1979",2795.9504995259363,6637.090635958953,1668
22,2,75.53161257311268,39.89637040451485,75.0509636404,40.3551241173,strike-slip,1311,Talas-Fergana fault,"Thompson, et al., 2002; Tapponnier, et al., 1979",3487.587027464085,6215.128901024211,2283
23,2,75.39280937085373,40.06822198826403,75.0509636404,40.3551241173,strike-slip,1311,Talas-Fergana fault,"Thompson, et al., 2002; Tapponnier, et al., 1979",3454.274258916606,6256.373281130614,3343
24,2,75.2143481108065,40.23346389571517,75.0509636404,40.3551241173,strike-slip,1311,Talas-Fergana fault,"Thompson, et al., 2002; Tapponnier, et al., 1979",3411.4435564984183,6296.031338925232,3011
25,2,75.0557158796534,40.35243806907999,75.0509636404,40.3551241173,strike-slip,1311,Talas-Fergana fault,"Thompson, et al., 2002; Tapponnier, et al., 1979",3373.3718210155844,6324.585140537358,3278
26,2,74.90369332479835,40.43836386095458,75.0509636404,40.3551241173,strike-slip,1311,Talas-Fergana fault,"Thompson, et al., 2002; Tapponnier, et al., 1979",3336.8864078445345,6345.20733059056,3744
27,2,74.73184174104917,40.55072835802136,75.0509636404,40.3551241173,strike-slip,1311,Talas-Fergana fault,"Thompson, et al., 2002; Tapponnier, et al., 1979",3295.6420277381303,6372.174809890901,3682
28,2,74.63269659657848,40.57716706321354,75.0509636404,40.3551241173,strike-slip,1311,Talas-Fergana fault,"Thompson, et al., 2002; Tapponnier, et al., 1979",3271.847193061359,6378.520099138039,3928
29,2,74.52694177580976,40.60360576840572,75.0509636404,40.3551241173,strike-slip,1311,Talas-Fergana fault,"Thompson, et al., 2002; Tapponnier, et al., 1979",3246.466036072805,6384.865388385178,3112
30,2,74.44762566023321,40.62343479729986,75.0509636404,40.3551241173,strike-slip,1311,Talas-Fergana fault,"Thompson, et al., 2002; Tapponnier, et al., 1979",3227.430168331388,6389.624355320533,3621
31,3,81.52034288412936,32.98792027310513,82.0026142801,32.5162974618,strike-slip,1311,,,4924.8823023380555,4557.100869220595,4728
32,3,81.56424404131401,32.96526161133241,82.0026142801,32.5162974618,strike-slip,1311,,,4935.418580064057,4551.662790394271,4765
33,3,81.61097753122026,32.89445329329264,82.0026142801,32.5162974618,strike-slip,1311,,,4946.634617643351,4534.668794062009,4849
34,3,81.74452434133569,32.817041253532246,82.0026142801,32.5162974618,strike-slip,1311,,,4978.685852076183,4516.089904516541,4536
35,3,81.84427890799645,32.67891954584812,82.0026142801,32.5162974618,strike-slip,1311,,,5002.626948078597,4482.940694667046,4488
36,3,81.96705375927122,32.548471266368665,82.0026142801,32.5162974618,strike-slip,1311,,,5032.0929123892565,4451.633107586968,4695
37,3,82.12819575156938,32.40267613047986,82.0026142801,32.5162974618,strike-slip,1311,,,5070.766990547001,4416.642274968057,4597
38,3,82.30468460027687,32.29524813561443,82.0026142801,32.5162974618,strike-slip,1311,,,5113.124314243577,4390.8595561962275,4923
39,3,82.4735000207797,32.21084042536302,82.0026142801,32.5162974618,strike-slip,1311,,,5153.640015170737,4370.601705732647,4797
40,3,82.54256087462176,32.16479985613498,82.0026142801,32.5162974618,strike-slip,1311,,,5170.214620095483,4359.55196911615,4838
41,3,82.56558115923578,32.13410614331628,82.0026142801,32.5162974618,strike-slip,1311,,,5175.739488403732,4352.185478038484,5017
42,4,83.5989553427773,33.99776049943946,84.0331334237,33.8557541423,strike-slip,1311,,,5423.7492924933795,4799.462523579611,4879
43,4,83.82148476071285,33.93637307380207,84.0331334237,33.8557541423,strike-slip,1311,,,5477.156352806456,4784.729541424282,5018
44,4,84.02099389403436,33.85963879175533,84.0331334237,33.8557541423,strike-slip,1311,,,5525.03854481128,4766.3133137301165,4734
45,4,84.2128295991512,33.798251366117945,84.0331334237,33.8557541423,strike-slip,1311,,,5571.07911404669,4751.580331574787,5013
46,4,84.35862473504001,33.74453736868523,84.0331334237,33.8557541423,strike-slip,1311,,,5606.0699466656015,4738.688972188872,4918
47,4,84.45837930170077,33.69082337125251,84.0331334237,33.8557541423,strike-slip,1311,,,5630.011042668015,4725.797612802958,4648
48,5,92.57314770449115,30.837296776726422,94.0737464569,30.4825738056,strike-slip,1311,Jiali fault,"Armijo, et al., 1986; 1989",7577.555459649312,4040.9512300071206,5024
49,5,92.89543168908745,30.745215638270338,94.0737464569,30.4825738056,strike-slip,1311,Jiali fault,"Armijo, et al., 1986; 1989",7654.9036159647985,4018.8517567741246,4917
50,5,93.21771567368374,30.645461071609578,94.0737464569,30.4825738056,strike-slip,1311,Jiali fault,"Armijo, et al., 1986; 1989",7732.251772280286,3994.9106607717117,4738
51,5,93.4325716634146,30.637787643404902,94.0737464569,30.4825738056,strike-slip,1311,Jiali fault,"Armijo, et al., 1986; 1989",7783.817209823944,3993.0690380022947,5114
52,5,93.56301994289407,30.65313449981425,94.0737464569,30.4825738056,strike-slip,1311,Jiali fault,"Armijo, et al., 1986; 1989",7815.124796904025,3996.7522835411273,5027
53,5,93.68579479416884,30.645461071609578,94.0737464569,30.4825738056,strike-slip,1311,Jiali fault,"Armijo, et al., 1986; 1989",7844.590761214684,3994.9106607717117,5199
54,5,93.80089621723896,30.60709393058621,94.0737464569,30.4825738056,strike-slip,1311,Jiali fault,"Armijo, et al., 1986; 1989",7872.215102755931,3985.70254692463,4082
55,5,93.93134449671841,30.50733936392545,94.0737464569,30.4825738056,strike-slip,1311,Jiali fault,"Armijo, et al., 1986; 1989",7903.52268983601,3961.761450922217,3535
56,5,94.1078333454259,30.476645651106754,94.0737464569,30.4825738056,strike-slip,1311,Jiali fault,"Armijo, et al., 1986; 1989",7945.880013532585,3954.394959844551,4311
57,5,94.39175018899883,30.376891084445997,94.0737464569,30.4825738056,strike-slip,1311,Jiali fault,"Armijo, et al., 1986; 1989",8014.020056000989,3930.453863842139,2760
58,5,94.59893275052502,30.300156802399258,94.0737464569,30.4825738056,strike-slip,1311,Jiali fault,"Armijo, et al., 1986; 1989",8063.743870775232,3912.037636147975,2682
59,5,94.7830950274372,30.24644280496654,94.0737464569,30.4825738056,strike-slip,1311,Jiali fault,"Armijo, et al., 1986; 1989",8107.942817241226,3899.1462767620606,2430
60,5,94.95958387614469,30.169708522919805,94.0737464569,30.4825738056,strike-slip,1311,Jiali fault,"Armijo, et al., 1986; 1989",8150.300140937801,3880.730049067897,2269
61,5,95.17443986587556,29.99321967421231,94.0737464569,30.4825738056,strike-slip,1311,Jiali fault,"Armijo, et al., 1986; 1989",8201.86557848146,3838.372725371321,4502
62,5,95.30488814535501,29.947179104984265,94.0737464569,30.4825738056,strike-slip,1311,Jiali fault,"Armijo, et al., 1986; 1989",8233.173165561537,3827.3229887548223,4467
